Directory;Absolute Time spent on Inspection Group 'all', s;Percent of Time spent on Inspection Group 'all';Inspections Problem Count in Group 'all';Times Inspection from Group 'all' was Performed
/data/project;17.36;100.00%;573;11471
/data/project/src;15.99;92.15%;553;9262
/data/project/src/backend;9.16;52.79%;130;3584
/data/project/src/backend/services;2.86;16.50%;20;1593
/data/project/src/backend/routers;2.35;13.51%;96;1491
/data/project/src/backend/utils;1.45;8.36%;5;198
/data/project/src/backend/__mocks__;0.03;0.15%;6;98
/data/project/src/backend/db;0.00;0.00%;0;6
/data/project/src/frontend;4.76;27.42%;62;3804
/data/project/src/frontend/src;4.70;27.08%;62;3756
/data/project/src/frontend/src/app;4.34;24.98%;60;3544
/data/project/src/frontend/src/app/fetchers;2.46;14.15%;15;1485
/data/project/src/frontend/src/app/html;0.88;5.05%;0;536
/data/project/src/frontend/src/app/typescript;0.64;3.70%;31;988
/data/project/src/frontend/src/app/test-page;0.16;0.91%;11;100
/data/project/src/frontend/src/app/css;0.00;0.02%;0;30
/data/project/src/frontend/src/services;0.10;0.55%;1;98
/data/project/src/test;1.92;11.09%;358;1569
/data/project/src/test/routerTests;1.92;11.09%;358;1563
/data/project/src/test/routerTests/http;0.00;0.01%;0;72
/data/project/src/test/serviceTests;0.00;0.00%;0;6
/data/project/src/middleground;0.09;0.53%;3;204
/data/project/src/shared;0.06;0.32%;0;101
/data/project/qodana-report/log;0.73;4.23%;17;126
/data/project/qodana-report/log/indexing-diagnostic/project.15375f63;0.00;0.00%;0;7
/data/project/.github;0.00;0.02%;1;10
/data/project/.github/workflows;0.00;0.02%;1;5
/data/project/agent;0.00;0.00%;0;5